Middle Profiles,CPTWLs,Image Contrast
81,94,9.22028
129,54,17.5299
177,84,16.8742
261,66,9.86509
333,56,15.5585
369,64,12.7708
405,50,13.3342
477,64,8.58197
525,40,10.4095
633,62,13.2224
681,74,14.889
717,52,15.1973
801,64,9.64285
861,46,11.121
909,54,9.66192
969,64,11.804
1065,64,27.1067
1101,62,22.2281
1149,74,19.2382
1197,56,14.7732
1245,64,16.903
1317,48,22.9035
1365,58,27.3681
1497,64,12.7905
1533,64,13.414
1569,64,12.6699
1641,38,13.565
1713,80,11.7074
