Middle Profiles,CPTWLs,Image Contrast
285,64,20.531
417,64,24.7127
465,64,20.8826
561,70,23.9625
657,62,23.6129
717,64,20.8571
789,92,25.9755
837,78,20.4624
1473,64,26.7035
2265,64,29.0482
2301,64,28.0192
2337,62,29.891
2493,64,23.7462
3369,64,19.5784
3453,64,21.9202
3537,64,19.8458
3633,64,28.1554
3753,62,27.5696
4293,64,25.0641
4341,64,26.6893
4593,52,19.3485
4725,68,19.7026
5001,50,25.4752
7077,64,24.3728
7329,64,18.7812
7401,64,24.9274
7953,64,23.5769
8037,64,19.5802
8145,64,22.7647
8217,64,18.5866
