Middle Profiles,Image Contrast,Selected
33,6.58823,false
45,7.43196,false
57,8.48429,false
69,8.44214,false
81,8.73662,false
93,8.9118,false
105,11.0104,false
117,8.86547,false
129,7.20773,false
141,7.32578,false
153,7.41449,false
165,7.72729,false
177,9.71135,false
189,9.5044,false
201,16.4525,false
213,5.87297,false
225,5.66114,false
237,5.93289,false
249,5.69596,false
261,8.30875,false
273,5.69751,false
285,20.531,true
297,5.55841,false
309,16.8953,false
321,7.37653,false
333,5.40582,false
345,8.15296,false
357,9.02933,false
369,10.2734,false
381,12.6749,false
393,11.9458,false
405,13.1928,false
417,24.7127,true
429,22.9615,false
441,17.9461,false
453,18.3371,false
465,20.8826,true
477,16.1156,false
489,10.5737,false
501,17.6227,false
513,9.08256,false
525,11.1722,false
537,13.5789,false
549,15.1883,false
561,23.1966,true
573,21.4341,false
585,12.8713,false
597,15.3754,false
609,11.1991,false
621,18.2257,false
633,20.6083,false
645,22.7732,false
657,23.5545,true
669,15.3554,false
681,17.8595,false
693,18.3204,false
705,16.065,false
717,20.8571,true
729,9.29337,false
741,6.62971,false
753,11.5572,false
765,19.8017,false
777,21.0038,false
789,24.2603,true
801,24.1787,false
813,21.7138,false
825,14.6667,false
837,19.4258,true
849,12.3294,false
861,3.70662,false
873,11.5521,false
885,13.9189,false
897,14.0553,false
909,11.4256,false
921,14.2406,false
933,13.8078,false
945,15.0148,false
957,10.139,false
969,12.7185,false
981,12.1363,false
993,10.5101,false
1005,12.667,false
1017,11.9043,false
1029,13.4937,false
1041,9.04977,false
1053,11.1275,false
1065,13.1886,false
1077,10.3027,false
1089,8.17452,false
1101,3.64953,false
1113,4.84048,false
1125,5.19077,false
1137,5.00893,false
1149,3.83927,false
1161,4.90419,false
1173,5.95895,false
1185,5.5097,false
1197,3.18585,false
1209,5.15289,false
1221,6.9719,false
1233,5.04561,false
1245,4.54184,false
1257,15.9836,false
1269,13.6975,false
1281,10.6855,false
1293,11.8868,false
1305,10.5882,false
1317,14.011,false
1329,13.1101,false
1341,11.1397,false
1353,7.60318,false
1365,5.76195,false
1377,8.32698,false
1389,8.12098,false
1401,15.7614,false
1413,8.28596,false
1425,8.21199,false
1437,9.74566,false
1449,12.4882,false
1461,14.9796,false
1473,26.7035,true
1485,9.76375,false
1497,9.98709,false
1509,12.0621,false
1521,9.52118,false
1533,9.61628,false
1545,11.3895,false
1557,11.6358,false
1569,9.80153,false
1581,9.99503,false
1593,9.0188,false
1605,6.49652,false
1617,7.37592,false
1629,8.02174,false
1641,7.53282,false
1653,6.92081,false
1665,7.16688,false
