Middle Profiles,Doppler Spread (Hz),Selected
33,23.8273,false
45,17.4734,false
57,15.8849,false
69,23.8273,false
81,25.4158,false
93,30.1813,false
105,33.3582,false
117,33.3582,false
129,20.6503,false
141,17.4734,false
153,15.8849,false
165,17.4734,false
177,28.5928,false
189,27.0043,false
201,28.5928,false
213,31.7698,false
225,30.1813,false
237,15.8849,false
249,12.7079,false
261,17.4734,false
273,20.6503,false
285,20.6503,false
297,22.2388,false
309,25.4158,false
321,31.7698,false
333,31.7698,false
345,22.2388,false
357,27.0043,false
369,41.3007,true
381,39.7122,false
393,30.1813,false
405,39.7122,true
417,38.1237,false
429,30.1813,false
441,23.8273,false
453,25.4158,false
465,17.4734,false
477,20.6503,false
489,12.7079,false
501,19.0619,false
513,22.2388,false
525,33.3582,false
537,28.5928,false
549,15.8849,false
561,11.1194,false
573,14.2964,false
585,17.4734,false
597,19.0619,false
609,30.1813,false
621,28.5928,false
633,30.1813,false
645,23.8273,false
657,25.4158,false
669,22.2388,false
681,15.8849,false
693,17.4734,false
705,23.8273,false
717,22.2388,false
729,25.4158,false
741,33.3582,false
753,33.3582,false
765,33.3582,false
777,30.1813,false
789,17.4734,false
801,12.7079,false
813,12.7079,false
825,14.2964,false
837,15.8849,false
849,14.2964,false
861,12.7079,false
873,14.2964,false
885,19.0619,false
897,23.8273,false
909,19.0619,false
921,17.4734,false
933,23.8273,false
945,27.0043,false
957,33.3582,false
969,23.8273,false
981,30.1813,false
993,47.6546,true
1005,39.7122,false
1017,31.7698,false
1029,34.9467,false
1041,41.3007,true
1053,28.5928,false
1065,28.5928,false
1077,22.2388,false
1089,14.2964,false
1101,14.2964,false
1113,19.0619,false
1125,25.4158,false
1137,28.5928,false
1149,22.2388,false
1161,28.5928,false
1173,23.8273,false
1185,28.5928,false
1197,22.2388,false
1209,23.8273,false
1221,22.2388,false
1233,28.5928,false
1245,23.8273,false
1257,28.5928,false
1269,30.1813,false
1281,15.8849,false
1293,14.2964,false
1305,19.0619,false
1317,22.2388,false
1329,20.6503,false
1341,22.2388,false
1353,15.8849,false
1365,14.2964,false
1377,9.53093,false
1389,6.35395,false
1401,7.94244,false
1413,7.94244,false
1425,7.94244,false
1437,4.76546,false
1449,6.35395,false
1461,6.35395,false
1473,12.7079,false
1485,15.8849,false
1497,14.2964,false
1509,19.0619,false
1521,15.8849,false
1533,11.1194,false
1545,14.2964,false
1557,19.0619,false
1569,20.6503,false
1581,22.2388,false
1593,19.0619,false
1605,15.8849,false
1617,20.6503,false
1629,17.4734,false
1641,9.53093,false
1653,9.53093,false
1665,11.1194,false
1677,15.8849,false
1689,14.2964,false
1701,15.8849,false
1713,14.2964,false
1725,22.2388,false
1737,28.5928,false
1749,12.7079,false
1761,14.2964,false
1773,17.4734,false
1785,14.2964,false
1797,23.8273,false
1809,23.8273,false
1821,20.6503,false
1833,15.8849,false
1845,17.4734,false
1857,17.4734,false
1869,19.0619,false
1881,15.8849,false
1893,12.7079,false
1905,14.2964,false
1917,17.4734,false
1929,17.4734,false
1941,25.4158,false
1953,27.0043,false
1965,23.8273,false
1977,15.8849,false
1989,12.7079,false
2001,9.53093,false
2013,9.53093,false
2025,15.8849,false
2037,25.4158,false
2049,20.6503,false
2061,22.2388,false
2073,14.2964,false
2085,12.7079,false
2097,15.8849,false
2109,17.4734,false
2121,19.0619,false
2133,27.0043,false
2145,22.2388,false
2157,19.0619,false
2169,17.4734,false
2181,17.4734,false
2193,19.0619,false
2205,17.4734,false
2217,17.4734,false
2229,14.2964,false
2241,11.1194,false
2253,20.6503,false
2265,30.1813,false
2277,25.4158,false
2289,23.8273,false
2301,15.8849,false
2313,6.35395,false
2325,17.4734,false
2337,19.0619,false
2349,20.6503,false
2361,23.8273,false
2373,22.2388,false
2385,25.4158,false
2397,23.8273,false
2409,25.4158,false
2421,28.5928,false
2433,28.5928,false
2445,28.5928,false
2457,30.1813,false
2469,33.3582,false
2481,30.1813,false
2493,33.3582,false
2505,28.5928,false
2517,28.5928,false
2529,28.5928,false
2541,30.1813,false
2553,28.5928,false
2565,30.1813,false
2577,23.8273,false
2589,30.1813,false
2601,17.4734,false
2613,25.4158,false
2625,20.6503,false
2637,25.4158,false
2649,15.8849,false
2661,19.0619,false
2673,22.2388,false
2685,20.6503,false
2697,28.5928,false
2709,28.5928,false
2721,36.5352,true
2733,33.3582,false
2745,34.9467,false
2757,39.7122,true
2769,34.9467,false
2781,30.1813,false
2793,17.4734,false
2805,17.4734,false
2817,17.4734,false
2829,27.0043,false
2841,30.1813,false
2853,30.1813,false
2865,23.8273,false
2877,30.1813,false
2889,27.0043,false
2901,34.9467,true
2913,33.3582,false
2925,34.9467,false
2937,36.5352,false
2949,44.4777,true
2961,41.3007,false
2973,38.1237,false
2985,38.1237,false
2997,41.3007,true
3009,30.1813,false
3021,30.1813,false
3033,27.0043,false
3045,22.2388,false
3057,23.8273,false
3069,15.8849,false
3081,15.8849,false
3093,19.0619,false
3105,28.5928,false
3117,31.7698,false
3129,31.7698,false
3141,38.1237,true
3153,36.5352,false
3165,30.1813,false
3177,33.3582,false
3189,39.7122,false
3201,34.9467,false
3213,42.8892,true
3225,27.0043,false
3237,27.0043,false
3249,27.0043,false
3261,33.3582,false
3273,30.1813,false
3285,20.6503,false
3297,20.6503,false
3309,42.8892,true
3321,42.8892,false
3333,34.9467,false
3345,36.5352,false
3357,42.8892,true
3369,20.6503,false
3381,9.53093,false
3393,15.8849,false
3405,19.0619,false
3417,15.8849,false
3429,25.4158,false
3441,25.4158,false
3453,27.0043,false
3465,27.0043,false
3477,27.0043,false
3489,17.4734,false
3501,17.4734,false
3513,27.0043,false
3525,33.3582,false
3537,34.9467,true
3549,22.2388,false
3561,11.1194,false
3573,12.7079,false
3585,12.7079,false
3597,15.8849,false
3609,17.4734,false
3621,15.8849,false
3633,19.0619,false
3645,30.1813,false
3657,30.1813,false
3669,34.9467,false
3681,33.3582,false
3693,36.5352,true
3705,33.3582,false
3717,23.8273,false
3729,28.5928,false
3741,36.5352,false
3753,46.0661,true
3765,33.3582,false
3777,30.1813,false
3789,20.6503,false
3801,14.2964,false
3813,20.6503,false
3825,25.4158,false
3837,22.2388,false
3849,17.4734,false
3861,28.5928,false
3873,31.7698,false
3885,33.3582,false
3897,33.3582,false
3909,20.6503,false
3921,20.6503,false
3933,27.0043,false
3945,22.2388,false
3957,27.0043,false
3969,22.2388,false
3981,20.6503,false
3993,25.4158,false
4005,28.5928,false
4017,25.4158,false
4029,25.4158,false
4041,22.2388,false
4053,30.1813,false
4065,22.2388,false
4077,30.1813,false
4089,31.7698,false
4101,34.9467,false
4113,30.1813,false
4125,31.7698,false
4137,38.1237,true
4149,33.3582,false
4161,22.2388,false
4173,14.2964,false
4185,11.1194,false
4197,14.2964,false
4209,22.2388,false
4221,27.0043,false
4233,22.2388,false
4245,19.0619,false
4257,20.6503,false
4269,33.3582,false
4281,23.8273,false
4293,19.0619,false
4305,17.4734,false
4317,25.4158,false
4329,22.2388,false
4341,30.1813,false
4353,25.4158,false
4365,14.2964,false
4377,20.6503,false
4389,27.0043,false
4401,25.4158,false
4413,28.5928,false
4425,30.1813,false
4437,41.3007,false
4449,42.8892,true
4461,41.3007,false
4473,38.1237,false
4485,31.7698,false
4497,31.7698,false
4509,31.7698,false
4521,38.1237,true
4533,31.7698,false
4545,38.1237,false
4557,28.5928,false
4569,30.1813,false
4581,33.3582,false
4593,31.7698,false
4605,28.5928,false
4617,23.8273,false
4629,22.2388,false
4641,12.7079,false
4653,14.2964,false
4665,17.4734,false
4677,17.4734,false
4689,12.7079,false
4701,12.7079,false
4713,14.2964,false
4725,25.4158,false
4737,25.4158,false
4749,22.2388,false
4761,22.2388,false
4773,22.2388,false
4785,15.8849,false
4797,17.4734,false
4809,22.2388,false
4821,20.6503,false
4833,19.0619,false
4845,20.6503,false
4857,19.0619,false
4869,17.4734,false
4881,9.53093,false
4893,6.35395,false
4905,9.53093,false
4917,14.2964,false
4929,22.2388,false
4941,20.6503,false
4953,11.1194,false
4965,17.4734,false
4977,22.2388,false
4989,28.5928,false
5001,28.5928,false
5013,28.5928,false
5025,34.9467,false
5037,23.8273,false
5049,22.2388,false
5061,23.8273,false
5073,28.5928,false
5085,25.4158,false
5097,28.5928,false
5109,30.1813,false
5121,33.3582,false
5133,33.3582,false
5145,22.2388,false
5157,33.3582,false
5169,36.5352,true
5181,31.7698,false
5193,34.9467,false
5205,39.7122,true
5217,28.5928,false
5229,23.8273,false
5241,27.0043,false
5253,31.7698,false
5265,25.4158,false
5277,23.8273,false
5289,28.5928,false
5301,28.5928,false
5313,27.0043,false
5325,12.7079,false
5337,9.53093,false
5349,14.2964,false
5361,19.0619,false
5373,20.6503,false
5385,27.0043,false
5397,22.2388,false
5409,22.2388,false
5421,22.2388,false
5433,25.4158,false
5445,28.5928,false
5457,30.1813,false
5469,30.1813,false
5481,30.1813,false
5493,22.2388,false
5505,23.8273,false
5517,34.9467,false
5529,38.1237,false
5541,39.7122,false
5553,41.3007,true
5565,34.9467,false
5577,25.4158,false
5589,27.0043,false
5601,31.7698,false
5613,20.6503,false
5625,25.4158,false
5637,27.0043,false
5649,27.0043,false
5661,23.8273,false
5673,28.5928,false
5685,22.2388,false
5697,20.6503,false
5709,17.4734,false
5721,12.7079,false
5733,19.0619,false
5745,19.0619,false
5757,11.1194,false
5769,11.1194,false
5781,19.0619,false
5793,23.8273,false
5805,17.4734,false
5817,17.4734,false
5829,17.4734,false
5841,30.1813,false
5853,34.9467,false
5865,36.5352,true
5877,23.8273,false
5889,36.5352,false
5901,28.5928,false
5913,30.1813,false
5925,28.5928,false
5937,34.9467,false
5949,33.3582,false
5961,31.7698,false
5973,30.1813,false
