Middle Profiles,CPTWLs,Image Contrast
45,70,9.97089
105,76,14.7926
141,64,18.1436
189,64,15.9819
261,64,15.4378
321,56,21.0465
369,72,12.7742
417,40,13.648
501,64,16.0363
549,50,12.141
609,50,17.5722
693,50,13.7303
741,42,10.5763
813,76,10.902
861,64,9.80007
921,54,14.8106
981,90,13.5655
1017,64,15.5508
1053,64,23.0257
1149,52,20.4956
1209,60,17.6223
1257,58,20.2055
1317,64,20.4282
1389,92,11.3587
1437,74,11.3039
1497,46,19.7815
1533,92,22.5275
1593,64,14.6311
1641,64,11.7227
1689,64,8.23004
