Middle Profiles,Image Contrast,Selected
33,9.02649,false
45,9.68967,true
57,7.79451,false
69,9.58622,false
81,10.1408,false
93,12.7582,false
105,14.2162,true
117,11.3649,false
129,17.1198,false
141,18.1436,true
153,13.8986,false
165,11.65,false
177,12.0083,false
189,15.9819,true
201,15.9026,false
213,14.0661,false
225,11.5454,false
237,13.2017,false
249,14.8384,false
261,15.4378,true
273,10.365,false
285,17.6557,false
297,18.7695,false
309,10.7585,false
321,20.3668,true
333,18.5129,false
345,12.6788,false
357,2.14032,false
369,11.6411,true
381,11.171,false
393,10.0049,false
405,10.8506,false
417,12.4698,true
429,10.3433,false
441,8.56324,false
453,8.73806,false
465,9.2447,false
477,13.093,false
489,14.8039,false
501,16.0363,true
513,12.1863,false
525,9.6539,false
537,11.5935,false
549,11.9845,true
561,11.8909,false
573,10.0529,false
585,8.47947,false
597,11.1377,false
609,15.2516,true
621,13.9491,false
633,13.2259,false
645,11.5313,false
657,6.16517,false
669,11.5232,false
681,11.8866,false
693,12.5365,true
705,10.3324,false
717,9.89366,false
729,9.25495,false
741,9.62808,true
753,7.42596,false
765,6.63286,false
777,6.8928,false
789,6.30462,false
801,8.65071,false
813,10.3056,true
825,9.07358,false
837,9.65347,false
849,8.96837,false
861,9.80007,true
873,7.8932,false
885,7.6118,false
897,8.89923,false
909,10.098,false
921,14.3647,true
933,10.8831,false
945,12.1099,false
957,11.129,false
969,10.6748,false
981,12.5155,true
993,10.3199,false
1005,14.7134,false
1017,15.5508,true
1029,14.9281,false
1041,17.9449,false
1053,23.0257,true
1065,19.0837,false
1077,21.7295,false
1089,18.6153,false
1101,13.9324,false
1113,15.4016,false
1125,17.9317,false
1137,17.2895,false
1149,18.4603,true
1161,13.7127,false
1173,10.9974,false
1185,11.4538,false
1197,15.054,false
1209,17.5084,true
1221,14.1355,false
1233,10.4402,false
1245,12.9841,false
1257,20.1309,true
1269,18.4358,false
1281,17.3605,false
1293,12.9457,false
1305,19.2408,false
1317,20.4282,true
1329,18.0273,false
1341,12.4663,false
1353,11.5736,false
1365,8.80843,false
1377,10.299,false
1389,10.6941,true
1401,9.85387,false
1413,10.0249,false
1425,9.90377,false
1437,11.115,true
1449,10.4539,false
1461,10.088,false
1473,11.901,false
1485,6.03818,false
1497,17.2238,true
1509,14.8556,false
1521,16.3227,false
1533,21.6826,true
1545,20.9659,false
1557,16.3714,false
1569,10.3939,false
1581,10.757,false
1593,14.6311,true
1605,1.18221,false
1617,2.1114,false
1629,11.3224,false
1641,11.7227,true
1653,6.83662,false
1665,9.14074,false
1677,7.26116,false
1689,8.23004,true
1701,7.14266,false
1713,5.21753,false
1725,7.51464,false
1737,7.72979,false
1749,6.61318,false
