Middle Profiles,Image Contrast,Selected
33,4.71705,false
45,5.77504,false
57,7.64779,false
69,6.80616,false
81,7.72729,false
93,7.23586,false
105,6.82088,false
117,8.92534,false
129,10.4571,false
141,7.78379,false
153,11.6301,true
165,9.30533,false
177,7.92428,false
189,8.18606,false
201,9.15216,false
213,7.6086,false
225,7.0763,false
237,6.39279,false
249,8.97406,false
261,9.41162,false
273,9.09875,false
285,8.656,false
297,7.35038,false
309,6.45247,false
321,5.92378,false
333,3.03491,false
345,4.13359,false
357,9.92364,false
369,6.42211,false
381,7.02086,false
393,8.85321,false
405,7.77467,false
417,5.41986,false
429,5.10877,false
441,5.10307,false
453,4.60638,false
465,5.96915,false
477,4.46408,false
489,8.38259,false
501,1.7558,false
513,5.15444,false
525,6.2856,false
537,10.0563,false
549,7.5293,false
561,8.39724,false
573,7.05036,false
585,7.85621,false
597,8.83523,false
609,11.5888,true
621,9.66764,false
633,7.89739,false
645,7.93173,false
657,7.74184,false
669,8.22301,false
681,8.81473,false
693,8.64865,false
705,6.94614,false
717,8.62568,false
729,7.20469,false
741,7.31923,false
753,8.07922,false
765,7.60886,false
777,8.50379,false
789,7.23734,false
801,6.90723,false
813,10.3222,false
825,9.30311,false
837,8.71479,false
849,9.21123,false
861,9.57014,false
873,9.33056,false
885,11.5559,true
897,5.77888,false
909,9.94663,false
921,4.37903,false
933,6.64364,false
945,6.28759,false
957,6.59561,false
969,11.42,true
981,11.0187,false
993,7.66279,false
1005,8.53963,false
1017,9.03333,false
1029,9.03701,false
1041,5.77666,false
1053,4.76431,false
1065,4.82271,false
1077,3.73917,false
1089,5.18406,false
1101,5.62559,false
1113,7.33192,false
1125,6.60342,false
1137,6.40145,false
1149,6.52853,false
1161,7.91393,false
1173,7.08885,false
1185,6.0285,false
1197,7.69501,false
1209,8.31406,false
1221,4.47031,false
1233,9.2342,false
1245,9.61834,false
1257,10.6327,false
1269,8.24995,false
1281,10.7477,false
1293,12.0861,true
1305,7.98438,false
1317,10.1337,false
1329,10.8095,false
1341,12.0073,false
1353,13.2788,true
1365,11.3433,false
1377,12.0345,false
1389,15.2453,true
1401,15.187,false
1413,13.5165,false
1425,9.09287,false
1437,11.1539,true
1449,10.2528,false
1461,10.0578,false
1473,9.52406,false
1485,10.2578,false
1497,13.0211,true
1509,10.2744,false
1521,8.82689,false
1533,10.659,false
1545,9.6783,false
1557,9.48203,false
1569,10.7728,false
1581,11.8837,true
1593,10.349,false
1605,10.1638,false
1617,5.16811,false
1629,10.0813,false
1641,11.7145,false
1653,13.714,false
1665,9.48931,false
1677,18.4657,true
1689,18.0501,false
1701,14.1427,false
1713,13.8959,false
1725,11.1397,false
1737,9.03872,false
1749,8.44088,false
1761,9.35842,false
1773,10.7407,false
1785,11.6866,true
1797,8.99247,false
1809,7.35902,false
1821,6.45,false
1833,7.37595,false
1845,8.34197,false
1857,11.5819,true
1869,9.59698,false
1881,11.44,false
1893,13.0086,true
1905,12.7418,false
1917,9.28032,false
1929,10.1614,false
1941,8.44081,false
1953,7.50096,false
1965,8.17167,false
1977,9.56134,false
1989,12.289,true
2001,10.6431,false
2013,9.33821,false
2025,7.90023,false
2037,6.08272,false
2049,7.33308,false
2061,8.17348,false
2073,8.909,false
2085,11.0157,true
2097,10.2318,false
2109,9.0383,false
2121,10.6299,false
2133,9.81368,false
2145,6.55413,false
2157,6.11862,false
2169,6.33662,false
2181,10.4304,false
2193,7.99072,false
2205,8.1079,false
2217,8.94727,false
2229,11.8893,true
2241,9.93872,false
2253,9.52701,false
2265,9.6944,false
2277,3.09548,false
2289,6.76,false
2301,8.0604,false
2313,10.1199,false
2325,10.7694,false
2337,9.37608,false
2349,7.74951,false
2361,5.96919,false
2373,5.23278,false
2385,6.55369,false
2397,9.43206,false
2409,12.6239,true
2421,8.97671,false
2433,8.04605,false
2445,9.00397,false
2457,8.32952,false
2469,7.30083,false
2481,5.18687,false
2493,4.36085,false
2505,4.33358,false
2517,5.93137,false
2529,5.29658,false
2541,5.59364,false
2553,3.7255,false
2565,4.97298,false
2577,2.94978,false
2589,7.93841,false
2601,8.3648,false
2613,5.96653,false
2625,6.98458,false
2637,6.32075,false
2649,1.53772,false
2661,5.66159,false
2673,5.63926,false
2685,3.6187,false
2697,6.93024,false
2709,7.4119,false
2721,7.72414,false
2733,6.93348,false
2745,5.26728,false
2757,3.98781,false
2769,4.40776,false
2781,3.68212,false
2793,2.19963,false
2805,4.01039,false
2817,3.0493,false
2829,2.93857,false
2841,3.47432,false
2853,4.20195,false
2865,4.61716,false
2877,4.94662,false
2889,4.85229,false
2901,2.33157,false
2913,6.51707,false
2925,7.77867,false
2937,7.55056,false
2949,7.17092,false
2961,6.54617,false
2973,7.48787,false
2985,7.43365,false
2997,5.60762,false
3009,5.21897,false
3021,5.01667,false
3033,3.72821,false
3045,1.84576,false
3057,4.63378,false
3069,7.51875,false
3081,7.99039,false
3093,8.94388,false
3105,6.8636,false
3117,4.05674,false
3129,3.3332,false
3141,3.67726,false
3153,4.095,false
3165,5.0441,false
3177,5.89218,false
3189,6.05832,false
3201,6.29883,false
3213,7.77056,false
3225,10.8952,false
3237,8.92582,false
3249,8.62471,false
3261,9.23718,false
3273,9.71551,false
3285,13.7821,false
3297,14.6052,true
3309,8.50486,false
3321,8.24509,false
3333,6.35545,false
3345,2.39123,false
3357,7.60066,false
3369,6.49563,false
3381,6.62237,false
3393,10.1263,false
3405,12.0527,true
3417,11.9629,false
3429,7.92722,false
3441,9.08328,false
3453,4.42899,false
3465,4.66446,false
3477,6.7129,false
3489,4.41603,false
3501,8.35213,false
3513,7.48519,false
3525,6.8134,false
3537,6.57477,false
3549,4.2324,false
3561,9.05169,false
3573,7.92661,false
3585,5.5934,false
3597,5.757,false
3609,5.36961,false
3621,5.39362,false
3633,4.58388,false
3645,5.59253,false
3657,6.31621,false
3669,8.16763,false
3681,7.04745,false
3693,5.48069,false
3705,6.00077,false
3717,7.84568,false
3729,7.07202,false
3741,5.43497,false
3753,5.02044,false
3765,6.16757,false
3777,4.57936,false
3789,1.17058,false
3801,3.98897,false
3813,5.56358,false
3825,5.53228,false
3837,5.09877,false
3849,4.41498,false
3861,4.06009,false
3873,5.84613,false
3885,7.27448,false
3897,7.80944,false
3909,7.77938,false
3921,7.81236,false
3933,4.65239,false
3945,4.62799,false
3957,3.80413,false
3969,5.40226,false
3981,4.32506,false
3993,5.32859,false
4005,6.00681,false
4017,5.87444,false
4029,5.39332,false
4041,9.41348,false
4053,9.59737,false
4065,9.40391,false
4077,8.51899,false
4089,8.25672,false
4101,7.82528,false
4113,5.98584,false
4125,5.53427,false
4137,6.60459,false
4149,2.36264,false
4161,7.55025,false
4173,10.7016,false
4185,6.86452,false
4197,8.7528,false
4209,7.38894,false
4221,6.2476,false
4233,5.98259,false
4245,6.54002,false
4257,8.93454,false
4269,6.93803,false
4281,4.44041,false
4293,4.03464,false
4305,3.08501,false
4317,3.7824,false
4329,4.96327,false
4341,3.49094,false
4353,4.48922,false
4365,3.07735,false
4377,3.34032,false
4389,3.80918,false
4401,2.45898,false
4413,2.67086,false
4425,3.58478,false
4437,4.91556,false
4449,5.63588,false
4461,5.16471,false
4473,6.6348,false
4485,6.63128,false
4497,7.42446,false
4509,6.93999,false
4521,5.08559,false
4533,4.63767,false
4545,2.59517,false
4557,4.40026,false
4569,5.13533,false
4581,5.14534,false
4593,7.23906,false
4605,7.23115,false
4617,6.92251,false
4629,7.58793,false
4641,7.29256,false
4653,3.62304,false
4665,10.0038,false
4677,6.07858,false
4689,7.96194,false
4701,7.04608,false
4713,5.08169,false
4725,6.49013,false
4737,6.28096,false
4749,8.15858,false
4761,7.64269,false
4773,9.79351,false
4785,14.3655,true
4797,12.7583,false
4809,5.68252,false
