Middle Profiles,CPTWLs,Image Contrast
153,60,12.3744
609,92,12.0791
885,64,11.5559
969,64,11.42
1293,72,12.5981
1353,64,13.2788
1389,86,16.1622
1437,92,12.3688
1497,62,14.0397
1581,62,12.0635
1677,76,19.9204
1785,52,12.7482
1857,72,11.8058
1893,58,13.0574
1989,64,12.289
2085,28,12.5933
2229,64,11.8893
2409,64,12.6239
3297,64,14.6052
3405,98,13.1747
4785,64,14.3655
4929,64,13.6714
6165,54,12.8149
6309,58,12.5931
6741,64,11.2004
6825,52,20.9462
6921,64,11.1021
7017,64,11.4199
7173,52,15.9644
7233,88,16.6206
