Middle Profiles,Doppler Spread (Hz),Selected
33,22.2109,false
45,21.0419,false
57,23.3799,true
69,14.0279,false
81,8.18295,false
93,14.0279,true
105,14.0279,false
117,11.6899,false
129,12.8589,false
141,7.01396,false
153,7.01396,false
165,7.01396,false
177,12.8589,false
189,16.3659,false
201,18.7039,true
213,16.3659,false
225,18.7039,false
237,19.8729,true
249,17.5349,false
261,14.0279,false
273,17.5349,true
285,12.8589,false
297,12.8589,false
309,12.8589,false
321,14.0279,true
333,9.35195,false
345,10.5209,false
357,7.01396,false
369,10.5209,false
381,14.0279,false
393,15.1969,false
405,21.0419,false
417,17.5349,false
429,25.7179,true
441,19.8729,false
453,18.7039,false
465,10.5209,false
477,12.8589,false
489,15.1969,false
501,15.1969,false
513,22.2109,true
525,14.0279,false
537,14.0279,false
549,12.8589,false
561,14.0279,false
573,11.6899,false
585,16.3659,false
597,17.5349,false
609,19.8729,false
621,21.0419,true
633,15.1969,false
645,12.8589,false
657,15.1969,false
669,9.35195,false
681,17.5349,true
693,11.6899,false
705,8.18295,false
717,10.5209,false
729,10.5209,false
741,16.3659,true
753,12.8589,false
765,10.5209,false
777,15.1969,false
789,21.0419,true
801,19.8729,false
813,24.5489,false
825,26.8868,true
837,19.8729,false
849,18.7039,false
861,21.0419,false
873,23.3799,true
885,16.3659,false
897,15.1969,false
909,16.3659,false
921,17.5349,true
933,16.3659,false
945,9.35195,false
957,15.1969,false
969,16.3659,true
981,11.6899,false
993,17.5349,false
1005,16.3659,false
1017,18.7039,true
1029,17.5349,false
1041,17.5349,false
1053,17.5349,false
1065,18.7039,true
1077,17.5349,false
1089,18.7039,false
1101,16.3659,false
1113,16.3659,false
1125,9.35195,false
1137,11.6899,false
1149,11.6899,false
1161,12.8589,false
1173,15.1969,true
1185,12.8589,false
1197,16.3659,false
1209,19.8729,false
1221,21.0419,true
1233,14.0279,false
1245,11.6899,false
1257,8.18295,false
1269,11.6899,false
1281,11.6899,false
1293,15.1969,true
1305,14.0279,false
1317,12.8589,false
1329,16.3659,true
1341,14.0279,false
1353,10.5209,false
1365,8.18295,false
1377,7.01396,false
1389,10.5209,false
1401,15.1969,true
1413,15.1969,false
1425,10.5209,false
1437,15.1969,false
1449,22.2109,false
1461,23.3799,true
1473,23.3799,false
1485,21.0419,false
1497,23.3799,true
1509,15.1969,false
1521,15.1969,false
1533,15.1969,false
1545,17.5349,false
1557,18.7039,false
1569,22.2109,true
1581,17.5349,false
1593,16.3659,false
1605,11.6899,false
1617,16.3659,false
1629,26.8868,true
1641,21.0419,false
1653,17.5349,false
1665,15.1969,false
1677,18.7039,true
1689,16.3659,false
1701,16.3659,false
1713,17.5349,true
1725,15.1969,false
1737,10.5209,false
1749,11.6899,false
1761,22.2109,true
1773,19.8729,false
1785,21.0419,false
1797,18.7039,false
1809,23.3799,false
