Middle Profiles,CPTWLs,Image Contrast,Doppler Spread (Hz)
57,32,7.1385,23.3799
93,124,14.8967,14.0279
201,108,12.8365,18.7039
237,104,11.2407,19.8729
273,64,17.5487,17.5349
321,120,14.6173,14.0279
429,64,10.7211,25.7179
513,72,18.5351,22.2109
621,88,14.1348,21.0419
681,92,10.6506,17.5349
741,64,12.882,16.3659
789,32,5.81776,21.0419
825,112,13.2062,26.8868
873,56,9.84012,23.3799
921,64,11.6651,17.5349
969,100,25.0904,16.3659
1017,52,12.2652,18.7039
1065,72,14.8238,18.7039
1173,116,10.8903,15.1969
1221,124,19.4011,21.0419
1293,96,20.739,15.1969
1329,112,20.7897,16.3659
1401,44,17.1737,15.1969
1461,64,8.01829,23.3799
1497,64,5.17792,23.3799
1569,68,11.2086,22.2109
1629,60,5.91322,26.8868
1677,64,6.69657,18.7039
1713,80,11.2163,17.5349
1761,60,14.334,22.2109
