Middle Profiles,CPTWLs,Image Contrast,Doppler Spread (Hz)
45,32,6.81175,40.679
129,80,7.3019,40.679
177,84,15.9822,38.7419
237,80,6.16506,42.6161
513,60,9.83818,38.7419
1089,32,6.34578,40.679
1353,64,7.60318,42.6161
1605,32,7.32772,46.4903
1653,32,7.13827,52.3016
1821,88,10.9345,36.8048
1989,64,4.83418,40.679
2169,32,5.61961,40.679
2409,32,8.68231,36.8048
2493,64,23.7462,44.5532
2553,64,5.58082,48.4274
2877,56,14.1646,38.7419
4257,80,16.4751,40.679
4905,32,3.60896,38.7419
5541,104,5.53828,42.6161
5757,32,3.49181,42.6161
5793,56,10.3154,42.6161
5961,76,8.4727,40.679
5997,92,7.3101,38.7419
6069,112,6.59513,42.6161
6141,52,5.95441,38.7419
6201,32,2.36793,42.6161
6813,40,7.19548,42.6161
7317,32,11.3869,40.679
7425,40,14.8632,38.7419
7809,32,3.1057,48.4274
