Middle Profiles,Doppler Spread (Hz),Selected
33,34.8677,false
45,40.679,true
57,27.1193,false
69,23.2451,false
81,19.371,false
93,27.1193,false
105,38.7419,false
117,32.9306,false
129,40.679,true
141,30.9935,false
153,19.371,false
165,29.0564,false
177,38.7419,true
189,30.9935,false
201,19.371,false
213,25.1822,false
225,29.0564,false
237,42.6161,true
249,30.9935,false
261,32.9306,false
273,32.9306,false
285,30.9935,false
297,30.9935,false
309,32.9306,false
321,25.1822,false
333,21.3081,false
345,17.4339,false
357,15.4968,false
369,15.4968,false
381,17.4339,false
393,19.371,false
405,21.3081,false
417,23.2451,false
429,25.1822,false
441,19.371,false
453,21.3081,false
465,21.3081,false
477,21.3081,false
489,23.2451,false
501,29.0564,false
513,38.7419,true
525,30.9935,false
537,29.0564,false
549,30.9935,false
561,30.9935,false
573,19.371,false
585,19.371,false
597,21.3081,false
609,21.3081,false
621,13.5597,false
633,23.2451,false
645,23.2451,false
657,23.2451,false
669,21.3081,false
681,17.4339,false
693,15.4968,false
705,17.4339,false
717,21.3081,false
729,23.2451,false
741,23.2451,false
753,17.4339,false
765,9.68548,false
777,5.81129,false
789,5.81129,false
801,11.6226,false
813,17.4339,false
825,17.4339,false
837,11.6226,false
849,11.6226,false
861,25.1822,false
873,21.3081,false
885,25.1822,false
897,19.371,false
909,23.2451,false
921,27.1193,false
933,23.2451,false
945,27.1193,false
957,27.1193,false
969,30.9935,false
981,29.0564,false
993,23.2451,false
1005,21.3081,false
1017,17.4339,false
1029,19.371,false
1041,19.371,false
1053,21.3081,false
1065,30.9935,false
1077,29.0564,false
1089,40.679,true
1101,23.2451,false
1113,17.4339,false
1125,19.371,false
1137,23.2451,false
1149,27.1193,false
1161,30.9935,false
1173,29.0564,false
1185,25.1822,false
1197,27.1193,false
1209,23.2451,false
1221,19.371,false
1233,21.3081,false
1245,21.3081,false
1257,21.3081,false
1269,29.0564,false
1281,21.3081,false
1293,17.4339,false
1305,13.5597,false
1317,25.1822,false
1329,29.0564,false
1341,29.0564,false
1353,42.6161,true
1365,32.9306,false
1377,32.9306,false
1389,29.0564,false
1401,25.1822,false
1413,30.9935,false
1425,27.1193,false
1437,29.0564,false
1449,34.8677,false
1461,29.0564,false
1473,30.9935,false
1485,25.1822,false
1497,21.3081,false
1509,30.9935,false
1521,23.2451,false
1533,21.3081,false
1545,25.1822,false
1557,25.1822,false
1569,27.1193,false
1581,27.1193,false
1593,34.8677,false
1605,46.4903,true
1617,44.5532,false
1629,46.4903,false
1641,42.6161,false
1653,52.3016,true
1665,36.8048,false
1677,38.7419,false
1689,32.9306,false
1701,34.8677,false
1713,30.9935,false
1725,27.1193,false
1737,23.2451,false
1749,29.0564,false
1761,32.9306,false
1773,30.9935,false
1785,32.9306,false
1797,27.1193,false
1809,29.0564,false
1821,36.8048,true
1833,34.8677,false
1845,29.0564,false
1857,29.0564,false
1869,25.1822,false
1881,25.1822,false
1893,21.3081,false
1905,29.0564,false
1917,27.1193,false
1929,27.1193,false
1941,29.0564,false
1953,29.0564,false
1965,36.8048,false
1977,32.9306,false
1989,40.679,true
2001,38.7419,false
2013,34.8677,false
2025,29.0564,false
2037,34.8677,false
2049,19.371,false
2061,23.2451,false
2073,19.371,false
2085,19.371,false
2097,21.3081,false
2109,23.2451,false
2121,29.0564,false
2133,30.9935,false
2145,21.3081,false
2157,32.9306,false
2169,40.679,true
2181,32.9306,false
2193,29.0564,false
2205,23.2451,false
2217,29.0564,false
2229,29.0564,false
2241,34.8677,false
2253,19.371,false
2265,19.371,false
2277,17.4339,false
2289,15.4968,false
2301,17.4339,false
2313,13.5597,false
2325,17.4339,false
2337,15.4968,false
2349,17.4339,false
2361,25.1822,false
2373,27.1193,false
2385,23.2451,false
2397,30.9935,false
2409,36.8048,true
2421,36.8048,false
2433,32.9306,false
2445,34.8677,false
2457,36.8048,false
2469,25.1822,false
2481,30.9935,false
2493,44.5532,true
2505,38.7419,false
2517,29.0564,false
2529,30.9935,false
2541,36.8048,false
2553,48.4274,true
2565,40.679,false
2577,25.1822,false
2589,23.2451,false
2601,25.1822,false
2613,17.4339,false
2625,13.5597,false
2637,15.4968,false
2649,15.4968,false
2661,23.2451,false
2673,17.4339,false
2685,17.4339,false
2697,17.4339,false
2709,19.371,false
2721,25.1822,false
2733,23.2451,false
2745,21.3081,false
2757,21.3081,false
2769,23.2451,false
2781,27.1193,false
2793,29.0564,false
2805,27.1193,false
2817,30.9935,false
2829,34.8677,false
2841,30.9935,false
2853,29.0564,false
2865,34.8677,false
2877,38.7419,true
2889,29.0564,false
2901,19.371,false
2913,34.8677,false
2925,25.1822,false
2937,25.1822,false
2949,19.371,false
2961,19.371,false
2973,25.1822,false
2985,23.2451,false
2997,21.3081,false
3009,25.1822,false
3021,27.1193,false
3033,23.2451,false
3045,19.371,false
3057,21.3081,false
3069,27.1193,false
3081,27.1193,false
3093,29.0564,false
3105,25.1822,false
3117,23.2451,false
3129,13.5597,false
3141,15.4968,false
3153,13.5597,false
3165,30.9935,false
3177,25.1822,false
3189,25.1822,false
3201,34.8677,false
3213,19.371,false
3225,21.3081,false
3237,21.3081,false
3249,25.1822,false
3261,34.8677,false
3273,29.0564,false
3285,25.1822,false
3297,34.8677,false
3309,25.1822,false
3321,19.371,false
3333,21.3081,false
3345,34.8677,false
3357,34.8677,false
3369,29.0564,false
3381,30.9935,false
3393,23.2451,false
3405,21.3081,false
3417,21.3081,false
3429,15.4968,false
3441,13.5597,false
3453,5.81129,false
3465,9.68548,false
3477,17.4339,false
3489,19.371,false
3501,25.1822,false
3513,32.9306,false
3525,25.1822,false
3537,29.0564,false
3549,32.9306,false
3561,27.1193,false
3573,32.9306,false
3585,32.9306,false
3597,25.1822,false
3609,19.371,false
3621,15.4968,false
3633,19.371,false
3645,23.2451,false
3657,29.0564,false
3669,19.371,false
3681,23.2451,false
3693,23.2451,false
3705,21.3081,false
3717,21.3081,false
3729,13.5597,false
3741,9.68548,false
3753,7.74838,false
3765,7.74838,false
3777,17.4339,false
3789,19.371,false
3801,25.1822,false
3813,27.1193,false
3825,23.2451,false
3837,25.1822,false
3849,25.1822,false
3861,32.9306,false
3873,25.1822,false
3885,23.2451,false
3897,23.2451,false
3909,30.9935,false
3921,30.9935,false
3933,23.2451,false
3945,32.9306,false
3957,27.1193,false
3969,23.2451,false
3981,29.0564,false
3993,23.2451,false
4005,25.1822,false
4017,11.6226,false
4029,7.74838,false
4041,11.6226,false
4053,21.3081,false
4065,27.1193,false
4077,19.371,false
4089,13.5597,false
4101,13.5597,false
4113,13.5597,false
4125,19.371,false
4137,29.0564,false
4149,29.0564,false
4161,29.0564,false
4173,19.371,false
4185,13.5597,false
4197,13.5597,false
4209,15.4968,false
4221,27.1193,false
4233,19.371,false
4245,21.3081,false
4257,40.679,true
4269,27.1193,false
4281,23.2451,false
4293,15.4968,false
4305,13.5597,false
4317,11.6226,false
4329,13.5597,false
4341,19.371,false
4353,19.371,false
4365,17.4339,false
4377,19.371,false
4389,19.371,false
4401,21.3081,false
4413,25.1822,false
4425,27.1193,false
4437,36.8048,false
4449,34.8677,false
4461,30.9935,false
4473,29.0564,false
4485,23.2451,false
4497,29.0564,false
4509,30.9935,false
4521,25.1822,false
4533,30.9935,false
4545,23.2451,false
4557,25.1822,false
4569,29.0564,false
4581,30.9935,false
4593,25.1822,false
4605,21.3081,false
4617,21.3081,false
4629,13.5597,false
4641,11.6226,false
4653,11.6226,false
4665,15.4968,false
4677,17.4339,false
4689,15.4968,false
4701,19.371,false
4713,25.1822,false
4725,23.2451,false
4737,19.371,false
4749,25.1822,false
4761,30.9935,false
4773,29.0564,false
4785,30.9935,false
4797,34.8677,false
4809,30.9935,false
4821,13.5597,false
4833,25.1822,false
4845,30.9935,false
4857,34.8677,false
4869,29.0564,false
4881,29.0564,false
4893,32.9306,false
4905,38.7419,true
4917,25.1822,false
4929,25.1822,false
4941,23.2451,false
4953,25.1822,false
4965,23.2451,false
4977,21.3081,false
4989,13.5597,false
5001,13.5597,false
5013,11.6226,false
5025,13.5597,false
5037,15.4968,false
5049,21.3081,false
5061,25.1822,false
5073,23.2451,false
5085,23.2451,false
5097,23.2451,false
5109,27.1193,false
5121,25.1822,false
5133,25.1822,false
5145,25.1822,false
5157,29.0564,false
5169,30.9935,false
5181,25.1822,false
5193,30.9935,false
5205,29.0564,false
5217,23.2451,false
5229,23.2451,false
5241,25.1822,false
5253,15.4968,false
5265,17.4339,false
5277,25.1822,false
5289,29.0564,false
5301,27.1193,false
5313,27.1193,false
5325,25.1822,false
5337,23.2451,false
5349,29.0564,false
5361,27.1193,false
5373,19.371,false
5385,17.4339,false
5397,11.6226,false
5409,13.5597,false
5421,13.5597,false
5433,11.6226,false
5445,17.4339,false
5457,27.1193,false
5469,23.2451,false
5481,29.0564,false
5493,30.9935,false
5505,34.8677,false
5517,29.0564,false
5529,38.7419,false
5541,42.6161,true
5553,27.1193,false
5565,21.3081,false
5577,9.68548,false
5589,9.68548,false
5601,19.371,false
5613,27.1193,false
5625,32.9306,false
5637,25.1822,false
5649,13.5597,false
5661,19.371,false
5673,23.2451,false
5685,17.4339,false
5697,15.4968,false
5709,17.4339,false
5721,21.3081,false
5733,30.9935,false
5745,38.7419,false
5757,42.6161,true
5769,38.7419,false
5781,32.9306,false
5793,42.6161,true
5805,36.8048,false
5817,29.0564,false
5829,25.1822,false
5841,25.1822,false
5853,17.4339,false
5865,13.5597,false
5877,17.4339,false
5889,21.3081,false
5901,19.371,false
5913,19.371,false
5925,27.1193,false
5937,32.9306,false
5949,36.8048,false
5961,40.679,true
5973,29.0564,false
5985,36.8048,false
5997,38.7419,true
6009,38.7419,false
6021,27.1193,false
6033,23.2451,false
6045,29.0564,false
6057,32.9306,false
6069,42.6161,true
6081,32.9306,false
6093,34.8677,false
6105,32.9306,false
6117,32.9306,false
6129,34.8677,false
6141,38.7419,true
6153,32.9306,false
6165,32.9306,false
6177,36.8048,false
6189,27.1193,false
6201,42.6161,true
6213,42.6161,false
6225,36.8048,false
6237,29.0564,false
6249,29.0564,false
6261,23.2451,false
6273,23.2451,false
6285,15.4968,false
6297,13.5597,false
6309,11.6226,false
6321,17.4339,false
6333,30.9935,false
6345,34.8677,false
6357,29.0564,false
6369,29.0564,false
6381,23.2451,false
6393,17.4339,false
6405,15.4968,false
6417,23.2451,false
6429,29.0564,false
6441,23.2451,false
6453,13.5597,false
6465,11.6226,false
6477,36.8048,false
6489,30.9935,false
6501,34.8677,false
6513,23.2451,false
6525,19.371,false
6537,25.1822,false
6549,29.0564,false
6561,30.9935,false
6573,25.1822,false
6585,17.4339,false
6597,19.371,false
6609,21.3081,false
6621,19.371,false
6633,25.1822,false
6645,29.0564,false
6657,36.8048,false
6669,34.8677,false
6681,34.8677,false
6693,29.0564,false
6705,30.9935,false
6717,21.3081,false
6729,21.3081,false
6741,23.2451,false
6753,25.1822,false
6765,27.1193,false
6777,36.8048,false
6789,40.679,false
6801,40.679,false
6813,42.6161,true
6825,34.8677,false
6837,32.9306,false
6849,19.371,false
6861,13.5597,false
6873,17.4339,false
6885,13.5597,false
6897,15.4968,false
6909,15.4968,false
6921,23.2451,false
6933,15.4968,false
6945,19.371,false
6957,30.9935,false
6969,32.9306,false
6981,23.2451,false
6993,23.2451,false
7005,19.371,false
7017,21.3081,false
7029,27.1193,false
7041,27.1193,false
7053,21.3081,false
7065,19.371,false
7077,19.371,false
7089,17.4339,false
7101,15.4968,false
7113,19.371,false
7125,21.3081,false
7137,15.4968,false
7149,21.3081,false
7161,29.0564,false
7173,15.4968,false
7185,11.6226,false
7197,13.5597,false
7209,15.4968,false
7221,17.4339,false
7233,19.371,false
7245,36.8048,false
7257,34.8677,false
7269,30.9935,false
7281,34.8677,false
7293,30.9935,false
7305,32.9306,false
7317,40.679,true
7329,30.9935,false
7341,27.1193,false
7353,23.2451,false
7365,27.1193,false
7377,25.1822,false
7389,27.1193,false
7401,25.1822,false
7413,29.0564,false
7425,38.7419,true
7437,27.1193,false
7449,21.3081,false
7461,23.2451,false
7473,23.2451,false
7485,19.371,false
7497,25.1822,false
7509,30.9935,false
7521,21.3081,false
7533,21.3081,false
7545,19.371,false
7557,21.3081,false
7569,25.1822,false
7581,19.371,false
