Middle Profiles,CPTWLs,Image Contrast,Doppler Spread (Hz)
93,64,7.84557,21.0419
177,84,16.8742,19.8729
249,36,9.76613,25.7179
333,44,15.6016,16.3659
369,84,12.9227,8.18295
453,104,6.3256,28.0558
501,44,6.27529,26.8868
537,64,7.3803,28.0558
585,32,10.097,14.0279
633,72,13.0688,14.0279
741,128,9.18588,22.2109
801,32,13.1197,24.5489
849,32,5.5575,18.7039
897,112,10.3773,14.0279
933,116,8.30618,17.5349
981,72,13.0586,18.7039
1017,112,18.6435,11.6899
1065,64,27.1067,8.18295
1101,64,21.7195,12.8589
1161,116,14.9382,12.8589
1221,120,8.95183,21.0419
1269,116,19.4185,10.5209
1401,120,18.9017,12.8589
1449,84,9.85163,12.8589
1509,72,13.2242,9.35195
1545,64,5.52067,10.5209
1617,128,13.0087,17.5349
1665,36,11.2328,17.5349
1701,92,10.5648,16.3659
1737,100,13.4503,12.8589
