Middle Profiles,Doppler Spread (Hz),Selected
33,8.18295,false
45,9.35195,false
57,14.0279,false
69,16.3659,false
81,15.1969,false
93,21.0419,true
105,15.1969,false
117,12.8589,false
129,10.5209,false
141,8.18295,false
153,17.5349,false
165,15.1969,false
177,19.8729,true
189,17.5349,false
201,19.8729,false
213,18.7039,false
225,18.7039,false
237,21.0419,false
249,25.7179,true
261,24.5489,false
273,19.8729,false
285,14.0279,false
297,14.0279,false
309,11.6899,false
321,14.0279,false
333,16.3659,true
345,14.0279,false
357,7.01396,false
369,8.18295,true
381,8.18295,false
393,5.84497,false
405,4.67597,false
417,10.5209,false
429,12.8589,false
441,22.2109,false
453,28.0558,true
465,28.0558,false
477,25.7179,false
489,25.7179,false
501,26.8868,true
513,23.3799,false
525,24.5489,false
537,28.0558,true
549,26.8868,false
561,18.7039,false
573,11.6899,false
585,14.0279,true
597,10.5209,false
609,11.6899,false
621,12.8589,false
633,14.0279,true
645,12.8589,false
657,14.0279,false
669,11.6899,false
681,5.84497,false
693,7.01396,false
705,5.84497,false
717,5.84497,false
729,16.3659,false
741,22.2109,true
753,21.0419,false
765,21.0419,false
777,16.3659,false
789,15.1969,false
801,24.5489,true
813,18.7039,false
825,17.5349,false
837,16.3659,false
849,18.7039,true
861,17.5349,false
873,15.1969,false
885,10.5209,false
897,14.0279,true
909,12.8589,false
921,15.1969,false
933,17.5349,true
945,12.8589,false
957,14.0279,false
969,10.5209,false
981,18.7039,true
993,15.1969,false
1005,10.5209,false
1017,11.6899,true
1029,11.6899,false
1041,8.18295,false
1053,7.01396,false
1065,8.18295,true
1077,7.01396,false
1089,10.5209,false
1101,12.8589,true
1113,10.5209,false
1125,9.35195,false
1137,7.01396,false
1149,5.84497,false
1161,12.8589,true
1173,12.8589,false
1185,11.6899,false
1197,12.8589,false
1209,14.0279,false
1221,21.0419,true
1233,9.35195,false
1245,9.35195,false
1257,9.35195,false
1269,10.5209,true
1281,8.18295,false
1293,5.84497,false
1305,8.18295,false
1317,5.84497,false
1329,7.01396,false
1341,4.67597,false
1353,4.67597,false
1365,4.67597,false
1377,9.35195,false
1389,10.5209,false
1401,12.8589,true
1413,12.8589,false
1425,8.18295,false
1437,8.18295,false
1449,12.8589,true
1461,12.8589,false
1473,9.35195,false
1485,8.18295,false
1497,7.01396,false
1509,9.35195,true
1521,5.84497,false
1533,5.84497,false
1545,10.5209,true
1557,8.18295,false
1569,8.18295,false
1581,9.35195,false
1593,14.0279,false
1605,16.3659,false
1617,17.5349,true
1629,14.0279,false
1641,12.8589,false
1653,14.0279,false
1665,17.5349,true
1677,15.1969,false
1689,15.1969,false
1701,16.3659,true
1713,12.8589,false
1725,10.5209,false
1737,12.8589,true
1749,12.8589,false
1761,9.35195,false
1773,8.18295,false
1785,11.6899,false
1797,14.0279,false
1809,19.8729,false
