Middle Profiles,Image Contrast,Selected
33,5.67287,false
45,7.15897,false
57,4.2974,false
69,10.0552,false
81,9.05852,false
93,6.38405,false
105,6.47905,false
117,9.44533,false
129,17.5488,false
141,13.8981,false
153,22.482,true
165,16.5549,false
177,21.4503,false
189,11.4068,false
201,8.60544,false
213,10.1098,false
225,10.0386,false
237,7.7544,false
249,11.2006,false
261,16.2086,false
273,19.1834,true
285,15.3214,false
297,20.3814,false
309,20.9082,true
321,16.1569,false
333,13.7062,false
345,12.6599,false
357,9.40788,false
369,9.92185,false
381,10.2017,false
393,9.71926,false
405,9.52284,false
417,9.50397,false
429,14.1152,false
441,16.8664,false
453,15.7324,false
465,26.6022,true
477,13.3175,false
489,10.7023,false
501,9.67233,false
513,5.95439,false
525,1.56179,false
537,9.05166,false
549,3.01974,false
561,10.2133,false
573,11.1149,false
585,10.0651,false
597,9.08637,false
609,6.51197,false
621,6.57693,false
633,6.43635,false
645,4.38899,false
657,5.38994,false
669,2.75827,false
681,6.73844,false
693,7.73431,false
705,7.40649,false
717,8.32774,false
729,8.92515,false
741,7.98556,false
753,21.2752,true
765,15.0711,false
777,6.44459,false
789,6.427,false
801,6.39971,false
813,4.4308,false
825,4.30658,false
837,5.16699,false
849,6.80649,false
861,2.76075,false
873,8.61466,false
885,2.61793,false
897,8.26293,false
909,6.43169,false
921,5.43999,false
933,3.27056,false
945,6.38368,false
957,5.69251,false
969,6.5112,false
981,6.41552,false
993,6.35272,false
1005,7.28548,false
1017,5.75936,false
1029,4.80481,false
1041,4.97938,false
1053,5.76119,false
1065,2.49077,false
1077,3.90767,false
1089,8.81952,false
1101,15.4848,true
1113,6.27581,false
1125,7.59777,false
1137,1.71782,false
1149,7.54043,false
1161,7.29029,false
1173,6.98414,false
1185,5.59578,false
1197,5.91744,false
1209,2.97432,false
1221,8.87816,false
1233,2.43655,false
1245,5.86006,false
1257,6.91486,false
1269,6.67296,false
1281,11.1659,false
1293,9.58652,false
1305,5.74326,false
1317,8.68533,false
1329,10.2172,false
1341,14.0547,true
1353,10.2213,false
1365,6.66733,false
1377,8.7334,false
1389,8.7473,false
1401,7.76637,false
1413,6.81031,false
1425,6.70919,false
1437,5.261,false
1449,4.64856,false
1461,4.38551,false
1473,8.2166,false
1485,8.24222,false
1497,7.88481,false
1509,7.98319,false
1521,4.8357,false
1533,4.74987,false
1545,5.60227,false
1557,7.2825,false
1569,9.36289,false
1581,8.77521,false
1593,14.0787,true
1605,9.3528,false
1617,10.4637,false
1629,10.428,false
1641,9.33844,false
1653,7.36615,false
1665,5.59873,false
1677,8.07597,false
1689,9.43252,false
1701,5.60118,false
1713,7.30795,false
1725,8.11214,false
1737,8.73155,false
1749,8.4803,false
1761,7.1311,false
1773,8.32127,false
1785,8.21263,false
1797,7.5447,false
1809,7.05658,false
1821,6.55968,false
1833,5.76274,false
1845,2.68958,false
1857,5.10497,false
1869,4.88945,false
1881,2.18473,false
1893,7.59597,false
1905,2.83281,false
1917,3.36977,false
1929,2.35557,false
1941,4.37332,false
1953,3.99356,false
1965,5.97408,false
1977,6.30577,false
1989,7.19115,false
2001,10.2965,false
2013,11.3861,false
2025,11.0886,false
2037,11.7456,true
2049,10.5226,false
2061,10.9024,false
2073,11.6965,true
2085,11.4216,false
2097,10.1184,false
2109,10.6701,false
2121,10.4387,false
2133,13.0021,true
2145,11.6502,false
2157,6.31292,false
2169,5.11568,false
2181,5.82847,false
2193,6.29005,false
2205,4.99553,false
2217,5.2468,false
2229,4.34198,false
2241,4.83855,false
2253,5.27589,false
2265,3.98636,false
2277,5.28959,false
2289,8.80707,false
2301,6.57969,false
2313,5.55388,false
2325,4.74561,false
2337,5.01403,false
2349,6.85741,false
2361,7.1086,false
2373,6.66336,false
2385,6.0655,false
2397,9.61816,false
2409,7.9373,false
2421,6.53488,false
2433,10.468,false
2445,8.27149,false
2457,8.92248,false
2469,7.42445,false
2481,10.6549,false
2493,11.4338,true
2505,8.13525,false
2517,7.573,false
2529,6.75043,false
2541,6.92225,false
2553,6.72441,false
2565,5.97075,false
2577,7.39584,false
2589,5.26491,false
2601,6.32587,false
2613,4.24456,false
2625,4.17907,false
2637,3.18805,false
2649,4.33096,false
2661,6.97609,false
2673,6.61552,false
2685,8.03214,false
2697,5.05477,false
2709,6.00431,false
2721,5.57375,false
2733,3.96435,false
2745,4.58264,false
2757,4.41645,false
2769,5.92993,false
2781,5.98556,false
2793,9.35972,false
2805,13.2393,true
2817,8.40095,false
2829,13.9432,false
2841,15.943,true
2853,9.83733,false
2865,7.6245,false
2877,13.1419,true
2889,7.29015,false
2901,6.6765,false
2913,8.57888,false
2925,6.15962,false
2937,8.61185,false
2949,6.59724,false
2961,6.27966,false
2973,6.64883,false
2985,5.06021,false
2997,4.80671,false
3009,5.47746,false
3021,5.86514,false
3033,5.55523,false
3045,5.95577,false
3057,6.05662,false
3069,5.14058,false
3081,5.50182,false
3093,3.01579,false
3105,5.66594,false
3117,6.12726,false
3129,4.47187,false
3141,4.98658,false
3153,6.05841,false
3165,10.186,false
3177,10.6325,false
3189,9.81481,false
3201,16.3489,true
3213,9.95148,false
3225,10.0715,false
3237,19.6045,true
3249,7.09913,false
3261,10.5932,false
3273,10.6539,false
3285,9.75031,false
3297,6.05796,false
3309,7.20158,false
3321,9.60726,false
3333,10.2975,false
3345,11.8627,false
3357,12.9464,false
3369,13.8146,false
3381,14.5442,true
3393,11.2164,false
3405,10.9988,false
3417,7.8726,false
3429,7.25017,false
3441,6.00736,false
3453,5.65486,false
3465,6.05177,false
3477,4.09821,false
3489,6.32131,false
3501,6.99149,false
3513,6.39796,false
3525,7.43809,false
3537,6.18851,false
3549,5.13893,false
3561,4.92673,false
3573,6.25467,false
3585,5.72486,false
3597,7.16826,false
3609,9.9626,false
3621,11.4179,true
3633,11.0067,false
3645,8.10523,false
3657,7.31814,false
3669,6.86478,false
3681,7.73995,false
3693,13.4066,false
3705,9.88232,false
3717,16.0043,true
3729,9.19227,false
3741,6.88488,false
3753,1.09259,false
3765,2.49407,false
3777,4.48902,false
3789,4.42703,false
3801,1.503,false
3813,4.09141,false
3825,3.68457,false
3837,3.1797,false
3849,1.89533,false
3861,6.31503,false
3873,6.67952,false
3885,7.35451,false
3897,6.93929,false
3909,8.36194,false
3921,6.68352,false
3933,9.92635,false
3945,8.83505,false
3957,7.72254,false
3969,8.23504,false
3981,7.28792,false
3993,5.90243,false
4005,3.59736,false
4017,7.37711,false
4029,9.11396,false
4041,11.038,false
4053,8.66366,false
4065,6.73504,false
4077,4.95681,false
4089,8.79034,false
4101,8.75368,false
4113,8.18962,false
4125,6.16304,false
4137,5.0887,false
4149,5.13344,false
4161,3.54577,false
4173,6.20517,false
4185,7.34575,false
4197,5.76956,false
4209,7.52961,false
4221,7.85926,false
4233,4.90903,false
4245,3.89553,false
4257,7.57747,false
4269,9.88316,false
4281,7.43843,false
4293,15.0393,false
4305,19.1093,true
4317,11.229,false
4329,12.7951,false
4341,26.066,true
4353,13.9295,false
4365,10.4679,false
4377,15.3294,false
4389,11.1929,false
4401,24.4319,true
4413,13.2261,false
4425,22.4641,false
4437,9.16049,false
4449,20.2928,false
4461,14.4619,false
4473,29.1288,true
4485,13.8806,false
4497,13.229,false
4509,9.19161,false
4521,7.63442,false
4533,4.7874,false
4545,3.7363,false
4557,3.87769,false
4569,4.06834,false
4581,4.20998,false
4593,4.13186,false
4605,5.79499,false
4617,4.77686,false
4629,5.79425,false
4641,5.43444,false
4653,5.17383,false
4665,5.98106,false
4677,5.16446,false
4689,4.81517,false
4701,4.6158,false
4713,6.45379,false
4725,7.5199,false
4737,8.64641,false
4749,18.6615,true
4761,11.9262,false
4773,16.8858,false
4785,9.44366,false
4797,7.87236,false
4809,7.54569,false
4821,6.85058,false
4833,6.65846,false
4845,6.1711,false
4857,6.14421,false
4869,5.56662,false
4881,2.07864,false
4893,8.71552,false
4905,11.3143,false
4917,7.85828,false
4929,6.05657,false
4941,4.8546,false
4953,2.74951,false
4965,5.41769,false
4977,5.17057,false
4989,8.94232,false
5001,9.09809,false
5013,11.4268,false
5025,15.2773,true
5037,12.5012,false
5049,8.0065,false
5061,5.36143,false
5073,6.32759,false
5085,7.23004,false
5097,6.22839,false
5109,8.27331,false
5121,9.03254,false
5133,10.8794,false
5145,11.0193,false
5157,16.0853,false
5169,11.3172,false
5181,22.2022,true
5193,14.0963,false
5205,15.3033,false
5217,12.2899,false
5229,7.85216,false
5241,7.29915,false
5253,9.27379,false
5265,1.38486,false
5277,9.29468,false
5289,6.98237,false
5301,7.85616,false
5313,7.90388,false
5325,7.08423,false
5337,6.74326,false
5349,6.21057,false
5361,10.1222,false
5373,8.35134,false
5385,1.92929,false
5397,5.39092,false
5409,4.85257,false
5421,7.05441,false
5433,7.58505,false
5445,7.43346,false
5457,4.64454,false
5469,8.74084,false
5481,6.92999,false
5493,4.90131,false
5505,9.80458,false
5517,6.64428,false
5529,7.97858,false
5541,5.77164,false
5553,6.75894,false
5565,7.21081,false
5577,8.65567,false
5589,9.08527,false
5601,8.3467,false
5613,11.7431,false
5625,11.8357,false
5637,13.2854,true
5649,11.2184,false
5661,11.8718,false
5673,11.0913,false
5685,10.9205,false
5697,7.36207,false
5709,6.18812,false
5721,6.96587,false
5733,5.9092,false
5745,3.25863,false
5757,7.16893,false
5769,7.28563,false
5781,7.15514,false
5793,5.06724,false
5805,8.47596,false
5817,6.51221,false
5829,6.48134,false
5841,6.17606,false
5853,6.25564,false
5865,4.86304,false
5877,8.56225,false
5889,9.82035,false
5901,11.4775,false
5913,9.14189,false
5925,16.321,true
5937,15.9237,false
5949,16.6402,false
5961,17.6807,false
5973,18.4102,false
5985,20.7106,false
5997,24.888,false
6009,26.9027,true
6021,19.0516,false
6033,17.9772,false
