Middle Profiles,Doppler Spread (Hz),Selected
33,21.3081,false
45,40.679,false
57,27.1193,false
69,25.1822,false
81,29.0564,false
93,38.7419,false
105,36.8048,false
117,30.9935,false
129,11.6226,false
141,17.4339,false
153,17.4339,false
165,15.4968,false
177,17.4339,false
189,19.371,false
201,27.1193,false
213,27.1193,false
225,29.0564,false
237,30.9935,false
249,15.4968,false
261,15.4968,false
273,15.4968,false
285,13.5597,false
297,11.6226,false
309,13.5597,false
321,27.1193,false
333,30.9935,false
345,23.2451,false
357,32.9306,false
369,27.1193,false
381,19.371,false
393,27.1193,false
405,27.1193,false
417,25.1822,false
429,29.0564,false
441,19.371,false
453,21.3081,false
465,32.9306,false
477,25.1822,false
489,25.1822,false
501,29.0564,false
513,30.9935,false
525,42.6161,false
537,30.9935,false
549,34.8677,false
561,13.5597,false
573,11.6226,false
585,11.6226,false
597,13.5597,false
609,21.3081,false
621,27.1193,false
633,38.7419,false
645,44.5532,false
657,38.7419,false
669,52.3016,true
681,46.4903,false
693,29.0564,false
705,25.1822,false
717,54.2387,true
729,44.5532,false
741,40.679,false
753,48.4274,true
765,32.9306,false
777,38.7419,false
789,60.05,true
801,44.5532,false
813,40.679,false
825,34.8677,false
837,27.1193,false
849,29.0564,false
861,23.2451,false
873,19.371,false
885,27.1193,false
897,25.1822,false
909,40.679,false
921,25.1822,false
933,17.4339,false
945,15.4968,false
957,19.371,false
969,11.6226,false
981,11.6226,false
993,13.5597,false
1005,19.371,false
1017,27.1193,false
1029,32.9306,false
1041,32.9306,false
1053,42.6161,false
1065,48.4274,true
1077,46.4903,false
1089,36.8048,false
1101,36.8048,false
1113,38.7419,false
1125,42.6161,false
1137,44.5532,true
1149,34.8677,false
1161,44.5532,false
1173,25.1822,false
1185,32.9306,false
1197,36.8048,false
1209,27.1193,false
1221,23.2451,false
1233,21.3081,false
1245,29.0564,false
1257,27.1193,false
1269,30.9935,false
1281,34.8677,false
1293,38.7419,false
1305,46.4903,false
1317,48.4274,true
1329,34.8677,false
1341,38.7419,false
1353,54.2387,false
1365,61.9871,true
1377,52.3016,false
1389,48.4274,false
1401,40.679,false
1413,50.3645,true
1425,40.679,false
1437,34.8677,false
1449,42.6161,false
1461,19.371,false
1473,19.371,false
1485,27.1193,false
1497,21.3081,false
1509,19.371,false
1521,21.3081,false
1533,32.9306,false
1545,30.9935,false
1557,27.1193,false
1569,29.0564,false
1581,27.1193,false
1593,29.0564,false
1605,36.8048,false
1617,29.0564,false
1629,32.9306,false
1641,32.9306,false
1653,32.9306,false
1665,27.1193,false
1677,23.2451,false
1689,17.4339,false
1701,15.4968,false
1713,17.4339,false
1725,27.1193,false
1737,29.0564,false
1749,23.2451,false
1761,19.371,false
1773,17.4339,false
1785,21.3081,false
1797,25.1822,false
1809,23.2451,false
1821,30.9935,false
1833,30.9935,false
1845,38.7419,false
1857,44.5532,false
1869,48.4274,true
1881,17.4339,false
1893,15.4968,false
1905,19.371,false
1917,25.1822,false
1929,32.9306,false
1941,34.8677,false
1953,42.6161,false
1965,48.4274,true
1977,40.679,false
1989,29.0564,false
2001,30.9935,false
2013,38.7419,false
2025,36.8048,false
2037,21.3081,false
2049,15.4968,false
2061,25.1822,false
2073,29.0564,false
2085,29.0564,false
2097,36.8048,false
2109,32.9306,false
2121,19.371,false
2133,23.2451,false
2145,36.8048,false
2157,32.9306,false
2169,36.8048,false
2181,36.8048,false
2193,32.9306,false
2205,30.9935,false
2217,42.6161,false
2229,52.3016,true
2241,34.8677,false
2253,15.4968,false
2265,13.5597,false
