Middle Profiles,CPTWLs,Image Contrast
81,40,13.7978
129,64,17.5599
177,64,13.1166
249,58,10.7627
285,64,20.2095
357,64,23.6958
453,64,12.8449
513,72,18.5351
549,64,12.7999
585,56,11.7927
657,76,16.3401
693,64,11.8766
729,60,26.4485
825,74,12.9139
885,34,11.0227
957,104,26.5809
1005,46,19.4019
1041,64,9.97779
1137,64,22.498
1185,64,14.6441
1257,40,17.1439
1305,64,18.1424
1377,64,21.3694
1485,84,9.9837
1533,64,18.4217
1569,34,11.1414
1617,56,9.56412
1665,42,14.9657
1701,52,11.3857
