Middle Profiles,Image Contrast,Selected
33,7.92224,false
45,5.39819,false
57,7.27703,false
69,11.3938,false
81,12.8734,true
93,11.636,false
105,14.7994,false
117,17.2345,false
129,17.5599,true
141,14.0991,false
153,13.4434,false
165,9.09563,false
177,13.1166,true
189,12.9918,false
201,10.8328,false
213,10.0621,false
225,8.15309,false
237,9.42337,false
249,10.0383,true
261,9.29429,false
273,17.5487,false
285,20.2095,true
297,16.918,false
309,11.0634,false
321,11.554,false
333,14.8617,false
345,16.8517,false
357,23.6958,true
369,11.1812,false
381,10.433,false
393,7.22878,false
405,5.9917,false
417,6.13278,false
429,10.7211,false
441,8.05191,false
453,12.8449,true
465,10.2796,false
477,10.7313,false
489,14.1276,false
501,9.0156,false
513,17.4208,true
525,10.3613,false
537,11.2148,false
549,12.7999,true
561,11.7554,false
573,9.29132,false
585,10.993,true
597,5.70764,false
609,5.33882,false
621,6.03231,false
633,7.04388,false
645,15.321,false
657,15.7117,true
669,12.233,false
681,9.02563,false
693,11.8766,true
705,11.7205,false
717,13.2728,false
729,25.4176,true
741,12.882,false
753,10.3613,false
765,8.27492,false
777,7.81036,false
789,6.29876,false
801,10.4752,false
813,8.94402,false
825,10.9218,true
837,10.0354,false
849,9.51714,false
861,7.99611,false
873,9.36695,false
885,10.2112,true
897,10.092,false
909,10.8497,false
921,11.6651,false
933,13.0844,false
945,19.25,false
957,23.3782,true
969,19.3344,false
981,12.7241,false
993,12.1225,false
1005,14.0774,true
1017,12.1871,false
1029,8.88959,false
1041,9.97779,true
1053,6.01522,false
1065,6.23856,false
1077,8.99423,false
1089,9.4045,false
1101,9.53524,false
1113,9.98692,false
1125,15.5649,false
1137,22.498,true
1149,11.2559,false
1161,9.39064,false
1173,9.12578,false
1185,14.6441,true
1197,11.2775,false
1209,6.86997,false
1221,8.86503,false
1233,11.1458,false
1245,14.2535,false
1257,16.8353,true
1269,13.7903,false
1281,15.6701,false
1293,14.9977,false
1305,18.1424,true
1317,12.5286,false
1329,11.3649,false
1341,9.66539,false
1353,8.98504,false
1365,8.35169,false
1377,21.3694,true
1389,20.9371,false
1401,15.7764,false
1413,12.0822,false
1425,10.5661,false
1437,8.85496,false
1449,8.08832,false
1461,8.01829,false
1473,5.38838,false
1485,5.52079,true
1497,5.17792,false
1509,5.07979,false
1521,6.72114,false
1533,18.4217,true
1545,8.95519,false
1557,7.04464,false
1569,10.1826,true
1581,9.32575,false
1593,6.93137,false
1605,7.81657,false
1617,8.26519,true
1629,5.71163,false
1641,6.05324,false
1653,7.13776,false
1665,7.86164,true
1677,6.69657,false
1689,7.87178,false
1701,11.3113,true
1713,10.4065,false
1725,11.6051,false
1737,11.8397,false
1749,13.1091,false
